0.55,146.706,158.382,16.91749999999999,16.91749999999999,22.91749999999999
2.10,82.3721,93.8321,63.70920000000001,63.70920000000001,69.70920000000001
0.30,168.3882,180.06420000000003,64.87030000000001,64.87030000000001,70.87030000000001
2.00,82.3721,93.8321,71.7072,71.7072,77.7072
0.25,168.3882,180.06420000000003,72.8683,72.8683,78.8683
0.50,241.8613,253.53730000000002,74.1301,74.1301,80.1301
1.90,82.3721,93.8321,79.70519999999999,79.70519999999999,85.70519999999999
0.18,168.3882,180.06420000000003,80.8663,80.8663,86.8663
0.65,155.4072,167.0832,124.11000000000001,124.11000000000001,130.11
0.60,155.4072,167.0832,132.108,132.108,138.108
0.55,155.4072,167.0832,140.10600000000002,140.10600000000002,146.10600000000002
0.60,29.376,41.052,180.613,180.613,186.613
0.05,144.7666,156.44260000000003,186.5969,186.5969,192.5969
0.55,29.376,41.052,188.611,188.611,194.611
0.02,144.7666,156.44260000000003,194.5949,194.5949,200.5949
0.50,29.376,41.052,196.609,196.609,202.609
0.20,137.2397,148.91570000000002,217.3801,217.3801,223.3801
